iso2c,iso3c,country,date,pop,internet_users,life_exp,in_tourists,research_gdp,gdp
AT,AUT,Austria,2014,8546356,80.99582496,81.490243902439,25291000.0,3.08429,417059741085.658
BE,BEL,Belgium,2014,11209057,85.0,81.2878048780488,7887000.0,2.38729,503619406808.679
BG,BGR,Bulgaria,2014,7223938,55.49,74.4658536585366,7311000.0,0.79377,126819807733.502
CY,CYP,Cyprus,2014,1152285,69.33,80.178,2441000.0,0.50835,25611630279.2852
CZ,CZE,Czech Republic,2014,10525347,74.23171164,78.8243902439024,8096000.0,1.97285,339582593690.886
DE,DEU,Germany,2014,80982500,86.19,81.090243902439,32999000.0,2.86691,3807112936430.42
DK,DNK,Denmark,2014,5643475,95.99,80.7,10267000.0,2.91409,270330620655.251
ES,ESP,Spain,2014,46480882,76.19,83.2292682926829,64939000.0,1.23535,1558305994181.4
EE,EST,Estonia,2014,1314545,84.24152803,77.0341463414634,3160000.0,1.42931,38300194537.7593
FI,FIN,Finland,2014,5461512,86.53039275,81.1804878048781,2731000.0,3.16931,228058553146.46
FR,FRA,France,2014,66312067,83.75,82.719512195122,83701000.0,2.27592,2662033396692.53
GB,GBR,United Kingdom,2014,64602298,91.61,81.3048780487805,32613000.0,1.65915,2665874429446.03
GR,GRC,Greece,2014,10892413,63.21,81.3853658536585,22033000.0,0.8333,292335538628.945
HR,HRV,Croatia,2014,4238389,68.57,77.4780487804878,11623000.0,0.78252,93507647316.3196
HU,HUN,Hungary,2014,9866468,75.65319745,75.7634146341463,12140000.0,1.35373,252630796804.085
IE,IRL,Ireland,2014,4657740,83.49172234,81.3487804878049,8813000.0,1.52307,237861357856.322
IT,ITA,Italy,2014,60789140,55.63846022,83.090243902439,48576000.0,1.34301,2200255257934.9
LT,LTU,Lithuania,2014,2932367,72.13,74.5170731707317,2063000.0,1.03048,82564270189.9137
LU,LUX,Luxembourg,2014,556319,94.67,82.2292682926829,1038000.0,1.26404,56353766041.0479
LV,LVA,Latvia,2014,1993782,75.83,74.1243902439024,1843000.0,0.6893,47540328804.5663
MT,MLT,Malta,2014,434558,73.17,82.0463414634146,1690000.0,0.71197,14508619508.7562
NL,NLD,Netherlands,2014,16865008,91.666666,81.7073170731707,13925000.0,1.97568,830318571509.821
PL,POL,Poland,2014,38011735,66.6,77.6024390243903,16000000.0,0.93978,973566357429.12
PT,PRT,Portugal,2014,10401062,64.59,81.1219512195122,10497000.0,1.28973,298951904406.531
RO,ROU,Romania,2014,19908979,54.08,74.909756097561,8442000.0,0.38225,410588099293.823
SK,SVK,Slovak Republic,2014,5418649,79.98,76.8121951219512,1475000.0,0.88008,157095119197.712
SI,SVN,Slovenia,2014,2061980,71.59,81.0780487804878,2675000.0,2.36743,63653371400.3498
SE,SWE,Sweden,2014,9696110,92.52,82.2536585365854,5660000.0,3.14261,457507742235.106
